 2695.715  1464.677   935.5836  5151.333  318.8666  51145.08   248.0660
 2742.251  1462.064   923.4644  5193.118  315.4661  51612.01   250.7767
 2763.145  1426.106   924.2442  5170.960  316.1920  52010.09   251.2496
 2765.987  1419.670   938.5647  5165.464  319.5323  52400.39   251.1231
 2773.052  1409.338   932.6463  5152.508  323.7063  52786.30   249.1716
 2796.366  1392.800   953.6826  5179.570  320.2658  53158.89   251.4204
 2802.941  1388.141   998.4487  5211.182  318.9855  53505.57   251.0253
 2811.428  1367.175  1004.163   5202.707  319.4498  53833.13   249.0041
 2831.997  1367.912  1002.821   5227.269  320.4207  54161.34   247.5072
 2835.813  1354.719   996.5644  5161.291  310.4613  54461.63   242.3119
 2815.352  1303.695  1002.472   5071.349  303.2852  54749.81   236.0101
 2842.514  1280.203  1013.645   5094.213  305.8082  55010.46   231.1205
 2877.743  1290.160  1023.282   5196.442  309.6623  55258.02   233.6388
 2893.329  1343.466  1042.266   5321.348  310.6473  55534.65   237.2413
 2920.137  1404.458  1018.238   5390.914  310.4969  55864.79   242.0708
 2943.966  1443.487  1010.452   5488.309  317.0343  56221.88   246.8140
 2964.184  1455.480  1000.246   5434.563  307.8386  56589.49   244.9571
 2982.063  1433.763  1010.199   5488.740  312.3235  56938.04   244.7214
 2995.546  1457.003  0988.205   5527.330  311.5699  57287.06   247.4837
 3021.059  1438.396  1009.336   5492.411  317.5540  57632.06   246.9590
 3005.781  1415.369  1015.816   5471.835  316.4932  57953.20   244.9438
 3013.663  1413.747  1015.211   5397.844  311.9643  58258.93   241.4133
 3029.325  1400.239  1030.991   5437.413  312.2629  58554.73   238.1901
 3065.662  1410.968  1031.812   5513.574  315.4318  58858.93   238.5541
 3056.436  1434.130  1041.255   5586.857  315.2384  59175.63   240.5797
 3091.102  1464.451  1081.143   5692.173  316.1897  59442.66   242.7030
 3107.820  1477.563  1100.852   5756.128  311.8729  59716.06   243.2161
 3122.226  1506.400  1100.137   5781.629  319.9801  60015.79   246.2360
 3137.166  1513.191  1109.563   5817.958  320.6923  60320.15   246.2430
 3156.786  1514.349  1103.278   5797.993  314.8743  60639.92   245.1140
